", 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
07:57:27 AM       tps      rtps      wtps   bread/s   bwrtn/s;;;;;;;;7:57:27;AM;tps;rtps;wtps;bread/s;bwrtn/s
08:16:57 AM      2,70      0,00      2,70      0,00     34,40;;;;;;;;8:16:57;AM;2,7;0;2,7;0;34,4
08:17:07 AM      1,80      0,00      1,80      0,00     44,80;;;;;;;;8:17:07;AM;1,8;0;1,8;0;44,8
08:17:17 AM      1,80      0,00      1,80      0,00     36,00;;;;;;;;8:17:17;AM;1,8;0;1,8;0;36
08:17:27 AM      3,50      0,00      3,50      0,00     57,60;;;;;;;;8:17:27;AM;3,5;0;3,5;0;57,6
08:17:37 AM      0,90      0,00      0,90      0,00     20,80;;;;;;;;8:17:37;AM;0,9;0;0,9;0;20,8
08:17:47 AM      1,60      0,00      1,60      0,00     36,00;;;;;;;;8:17:47;AM;1,6;0;1,6;0;36
08:17:57 AM      2,00      0,00      2,00      0,00     40,80;;;;;;;;8:17:57;AM;2;0;2;0;40,8
08:18:07 AM      3,70      0,00      3,70      0,00     68,00;;;;;;;;8:18:07;AM;3,7;0;3,7;0;68
08:18:17 AM      3,30      0,00      3,30      0,00     72,80;;;;;;;;8:18:17;AM;3,3;0;3,3;0;72,8
08:18:27 AM      2,20      0,00      2,20      0,00     42,40;;;;;;;;8:18:27;AM;2,2;0;2,2;0;42,4
08:18:37 AM      3,40      0,00      3,40      0,00     47,20;;;;;;;;8:18:37;AM;3,4;0;3,4;0;47,2
08:18:47 AM      1,70      0,00      1,70      0,00     39,20;;;;;;;;8:18:47;AM;1,7;0;1,7;0;39,2
08:18:57 AM      1,20      0,00      1,20      0,00     20,80;;;;;;;;8:18:57;AM;1,2;0;1,2;0;20,8
08:19:07 AM      1,80      0,00      1,80      0,00     46,40;;;;;;;;8:19:07;AM;1,8;0;1,8;0;46,4
08:19:17 AM      2,70      0,00      2,70      0,00     44,00;;;;;;;;8:19:17;AM;2,7;0;2,7;0;44
08:19:27 AM      2,60      0,00      2,60      0,00     58,34;;;;;;;;8:19:27;AM;2,6;0;2,6;0;58,34
08:19:37 AM      0,90      0,00      0,90      0,00     23,20;;;;;;;;8:19:37;AM;0,9;0;0,9;0;23,2
08:19:47 AM      2,90      0,00      2,90      0,00     40,80;;;;;;;;8:19:47;AM;2,9;0;2,9;0;40,8
08:19:57 AM      2,00      0,00      2,00      0,00     39,20;;;;;;;;8:19:57;AM;2;0;2;0;39,2
08:20:07 AM      2,30      0,00      2,30      0,00     70,40;;;;;;;;8:20:07;AM;2,3;0;2,3;0;70,4
08:20:17 AM      1,20      0,00      1,20      0,00     26,40;;;;;;;;8:20:17;AM;1,2;0;1,2;0;26,4
08:20:27 AM      4,70      0,00      4,70      0,00     61,60;;;;;;;;8:20:27;AM;4,7;0;4,7;0;61,6
08:20:37 AM      1,90      0,00      1,90      0,00     38,40;;;;;;;;8:20:37;AM;1,9;0;1,9;0;38,4
