"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
07:57:13 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked;;;;;;;;;7:57:13;AM;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
08:18:33 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:18:33;AM;1;393;0;0,01;0,05;0
08:18:43 AM         0       394      0,00      0,01      0,05         0;;;;;;;;;8:18:43;AM;0;394;0;0,01;0,05;0
08:18:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:18:53;AM;0;393;0;0,01;0,05;0
08:19:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:19:03;AM;0;393;0;0,01;0,05;0
08:19:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:19:13;AM;0;393;0;0,01;0,05;0
08:19:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:19:23;AM;1;393;0;0,01;0,05;0
08:19:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:19:33;AM;0;393;0;0,01;0,05;0
08:19:43 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:19:43;AM;1;393;0;0,01;0,05;0
08:19:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:19:53;AM;1;393;0;0,01;0,05;0
08:20:03 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:20:03;AM;1;393;0;0,01;0,05;0
08:20:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:20:13;AM;0;393;0;0,01;0,05;0
08:20:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:20:23;AM;1;393;0;0,01;0,05;0
08:20:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:20:33;AM;0;393;0;0,01;0,05;0
08:20:43 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:20:43;AM;0;393;0;0,01;0,05;0
08:20:53 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:20:53;AM;1;393;0;0,01;0,05;0
08:21:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:21:03;AM;0;393;0;0,01;0,05;0
