"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
07:57:16 AM kbswpfree kbswpused  %swpused  kbswpcad   %swpcad;;;;;;;;;7:57:16;AM;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
08:17:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:17:46;AM;0;0;0;0;0
08:17:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:17:56;AM;0;0;0;0;0
08:18:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:18:06;AM;0;0;0;0;0
08:18:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:18:16;AM;0;0;0;0;0
08:18:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:18:26;AM;0;0;0;0;0
08:18:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:18:36;AM;0;0;0;0;0
08:18:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:18:46;AM;0;0;0;0;0
08:18:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:18:56;AM;0;0;0;0;0
08:19:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:19:06;AM;0;0;0;0;0
08:19:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:19:16;AM;0;0;0;0;0
08:19:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:19:26;AM;0;0;0;0;0
08:19:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:19:36;AM;0;0;0;0;0
08:19:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:19:46;AM;0;0;0;0;0
08:19:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:19:56;AM;0;0;0;0;0
08:20:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:20:06;AM;0;0;0;0;0
08:20:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:20:16;AM;0;0;0;0;0
08:20:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:20:26;AM;0;0;0;0;0
08:20:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:20:36;AM;0;0;0;0;0
08:20:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:20:46;AM;0;0;0;0;0
08:20:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:20:56;AM;0;0;0;0;0
08:21:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:21:06;AM;0;0;0;0;0
08:21:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:21:16;AM;0;0;0;0;0
08:21:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:21:26;AM;0;0;0;0;0
08:21:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:21:36;AM;0;0;0;0;0
08:21:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:21:46;AM;0;0;0;0;0
08:21:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:21:56;AM;0;0;0;0;0
08:22:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:22:06;AM;0;0;0;0;0
08:22:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:22:16;AM;0;0;0;0;0
08:22:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:22:26;AM;0;0;0;0;0
08:22:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:22:36;AM;0;0;0;0;0
08:22:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:22:46;AM;0;0;0;0;0
08:22:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:22:56;AM;0;0;0;0;0
08:23:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:23:06;AM;0;0;0;0;0
08:23:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:23:16;AM;0;0;0;0;0
08:23:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:23:26;AM;0;0;0;0;0
08:23:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:23:36;AM;0;0;0;0;0
08:23:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:23:46;AM;0;0;0;0;0
08:23:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:23:56;AM;0;0;0;0;0
08:24:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:24:06;AM;0;0;0;0;0
08:24:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:24:16;AM;0;0;0;0;0
08:24:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:24:26;AM;0;0;0;0;0
08:24:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:24:36;AM;0;0;0;0;0
08:24:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:24:46;AM;0;0;0;0;0
08:24:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:24:56;AM;0;0;0;0;0
08:25:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:25:06;AM;0;0;0;0;0
08:25:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:25:16;AM;0;0;0;0;0
08:25:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:25:26;AM;0;0;0;0;0
08:25:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:25:36;AM;0;0;0;0;0
08:25:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:25:46;AM;0;0;0;0;0
08:25:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:25:56;AM;0;0;0;0;0
08:26:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:26:06;AM;0;0;0;0;0
08:26:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:26:16;AM;0;0;0;0;0
08:26:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:26:26;AM;0;0;0;0;0
