"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
07:57:21 AM kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty;;;;;;;;;;;;;7:57:21;AM;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
08:07:11 AM   1542400   6447620     80,70    179172   4695688   2863928     35,84   5067180    951480       108;;;;;;;;;;;;;8:07:11;AM;1542400;6447620;80,7;179172;4695688;2863928;35,84;5067180;951480;108
08:07:21 AM   1542400   6447620     80,70    179172   4695696   2864068     35,85   5067272    951476       112;;;;;;;;;;;;;8:07:21;AM;1542400;6447620;80,7;179172;4695696;2864068;35,85;5067272;951476;112
08:07:31 AM   1543824   6446196     80,68    179172   4695704   2863316     35,84   5065260    951476        56;;;;;;;;;;;;;8:07:31;AM;1543824;6446196;80,68;179172;4695704;2863316;35,84;5065260;951476;56
08:07:41 AM   1543612   6446408     80,68    179172   4695712   2863448     35,84   5065920    951476       120;;;;;;;;;;;;;8:07:41;AM;1543612;6446408;80,68;179172;4695712;2863448;35,84;5065920;951476;120
08:07:51 AM   1543612   6446408     80,68    179172   4695720   2863448     35,84   5065928    951476       128;;;;;;;;;;;;;8:07:51;AM;1543612;6446408;80,68;179172;4695720;2863448;35,84;5065928;951476;128
08:08:01 AM   1543696   6446324     80,68    179172   4695728   2863464     35,84   5065584    951480       120;;;;;;;;;;;;;8:08:01;AM;1543696;6446324;80,68;179172;4695728;2863464;35,84;5065584;951480;120
08:08:11 AM   1543184   6446836     80,69    179172   4695740   2863228     35,84   5066296    951480       108;;;;;;;;;;;;;8:08:11;AM;1543184;6446836;80,69;179172;4695740;2863228;35,84;5066296;951480;108
08:08:21 AM   1543200   6446820     80,69    179172   4695752   2863228     35,84   5066424    951488       148;;;;;;;;;;;;;8:08:21;AM;1543200;6446820;80,69;179172;4695752;2863228;35,84;5066424;951488;148
08:08:31 AM   1543060   6446960     80,69    179172   4695756   2863692     35,84   5066612    951484       144;;;;;;;;;;;;;8:08:31;AM;1543060;6446960;80,69;179172;4695756;2863692;35,84;5066612;951484;144
08:08:41 AM   1542904   6447116     80,69    179172   4695764   2863048     35,83   5066916    951488       148;;;;;;;;;;;;;8:08:41;AM;1542904;6447116;80,69;179172;4695764;2863048;35,83;5066916;951488;148
08:08:51 AM   1542920   6447100     80,69    179172   4695772   2863196     35,83   5067280    951484        84;;;;;;;;;;;;;8:08:51;AM;1542920;6447100;80,69;179172;4695772;2863196;35,83;5067280;951484;84
08:09:01 AM   1543292   6446728     80,68    179172   4695776   2863932     35,84   5066696    951484       128;;;;;;;;;;;;;8:09:01;AM;1543292;6446728;80,68;179172;4695776;2863932;35,84;5066696;951484;128
08:09:11 AM   1542920   6447100     80,69    179172   4695780   2863696     35,84   5066832    951484       124;;;;;;;;;;;;;8:09:11;AM;1542920;6447100;80,69;179172;4695780;2863696;35,84;5066832;951484;124
08:09:21 AM   1542920   6447100     80,69    179172   4695788   2863696     35,84   5066800    951484        64;;;;;;;;;;;;;8:09:21;AM;1542920;6447100;80,69;179172;4695788;2863696;35,84;5066800;951484;64
08:09:31 AM   1542596   6447424     80,69    179172   4695800   2864072     35,85   5067436    951488        88;;;;;;;;;;;;;8:09:31;AM;1542596;6447424;80,69;179172;4695800;2864072;35,85;5067436;951488;88
08:09:41 AM   1542828   6447192     80,69    179172   4695804   2863836     35,84   5066992    951484       120;;;;;;;;;;;;;8:09:41;AM;1542828;6447192;80,69;179172;4695804;2863836;35,84;5066992;951484;120
