"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;
;;;;;;;;;;;
07:57:18 AM    proc/s   cswch/s;;;;;;;;7:57:18;AM;proc/s;cswch/s
08:33:58 AM      0,90    479,60;;;;;;;;8:33:58;AM;0,9;479,6
08:34:08 AM      1,20    262,40;;;;;;;;8:34:08;AM;1,2;262,4
08:34:18 AM      0,80    204,90;;;;;;;;8:34:18;AM;0,8;204,9
08:34:28 AM      0,90    337,40;;;;;;;;8:34:28;AM;0,9;337,4
08:34:38 AM      1,10    237,50;;;;;;;;8:34:38;AM;1,1;237,5
08:34:48 AM      0,90    160,60;;;;;;;;8:34:48;AM;0,9;160,6
08:34:58 AM      0,90    411,20;;;;;;;;8:34:58;AM;0,9;411,2
08:35:08 AM      1,10    213,50;;;;;;;;8:35:08;AM;1,1;213,5
08:35:18 AM      0,90    209,00;;;;;;;;8:35:18;AM;0,9;209
08:35:28 AM      0,90    425,20;;;;;;;;8:35:28;AM;0,9;425,2
08:35:38 AM      0,80    239,00;;;;;;;;8:35:38;AM;0,8;239
08:35:48 AM      0,80    163,90;;;;;;;;8:35:48;AM;0,8;163,9
08:35:58 AM      0,90    238,40;;;;;;;;8:35:58;AM;0,9;238,4
08:36:08 AM      1,50    259,30;;;;;;;;8:36:08;AM;1,5;259,3
08:36:18 AM      0,90    201,10;;;;;;;;8:36:18;AM;0,9;201,1
08:36:28 AM      0,90    213,50;;;;;;;;8:36:28;AM;0,9;213,5
08:36:38 AM      0,80    361,10;;;;;;;;8:36:38;AM;0,8;361,1
08:36:48 AM      0,80    162,40;;;;;;;;8:36:48;AM;0,8;162,4
08:36:58 AM      0,90    213,50;;;;;;;;8:36:58;AM;0,9;213,5
08:37:08 AM      0,80    214,10;;;;;;;;8:37:08;AM;0,8;214,1
08:37:18 AM      1,20    205,10;;;;;;;;8:37:18;AM;1,2;205,1
Average:         0,92    253,67;;;;;;;;;;;
